epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.508,1.76861,1.12197,1.11797,0.70014,0.64721,0.65455,0.3356,1.65057,inf,1.07463,0.000332036,0.000332036,0.0671284
2,310.318,1.57265,0.8209,1.03123,0.84349,0.73994,0.7942,0.44685,1.48709,inf,1.01885,0.000658782,0.000658782,0.0341218
3,447.103,1.52156,0.77059,1.01357,0.82671,0.73496,0.78376,0.43455,1.50833,inf,1.02745,0.000978929,0.000978929,0.00110863
4,580.687,1.50711,0.75378,1.00724,0.85112,0.75633,0.80582,0.46237,1.45537,inf,1.00838,0.0009703,0.0009703,0.0009703
5,695.921,1.48578,0.72888,0.99749,0.83017,0.74688,0.79761,0.44635,1.50491,inf,1.02603,0.0009604,0.0009604,0.0009604
6,798.614,1.47172,0.71702,0.99439,0.86188,0.75901,0.81777,0.47081,1.43941,inf,1.01149,0.0009505,0.0009505,0.0009505
7,900.322,1.45745,0.70315,0.99111,0.87003,0.78408,0.83463,0.48554,1.4151,inf,0.9953,0.0009406,0.0009406,0.0009406
8,999.432,1.44753,0.69758,0.98735,0.86926,0.7835,0.835,0.49188,1.39922,inf,0.98971,0.0009307,0.0009307,0.0009307
9,1099.43,1.44016,0.6852,0.98469,0.87465,0.78606,0.83921,0.49528,1.39423,inf,0.98543,0.0009208,0.0009208,0.0009208
10,1191.62,1.44035,0.68692,0.98279,0.87297,0.78889,0.83984,0.49558,1.39796,inf,0.98947,0.0009109,0.0009109,0.0009109
11,1285.31,1.43707,0.68254,0.98281,0.88183,0.79121,0.84924,0.50339,1.38182,inf,0.98173,0.000901,0.000901,0.000901
12,1387.83,1.42767,0.67287,0.9786,0.88387,0.80035,0.85147,0.50761,1.36934,inf,0.98156,0.0008911,0.0008911,0.0008911
13,1498.41,1.42296,0.66817,0.97618,0.88384,0.80449,0.85561,0.50934,1.3762,inf,0.98136,0.0008812,0.0008812,0.0008812
14,1607.71,1.42063,0.66718,0.97687,0.88384,0.79968,0.85204,0.50745,1.37379,inf,0.98008,0.0008713,0.0008713,0.0008713
15,1717.93,1.41398,0.66231,0.97633,0.88807,0.79996,0.85378,0.50937,1.36691,inf,0.97806,0.0008614,0.0008614,0.0008614
16,1834.22,1.41248,0.6592,0.97523,0.88789,0.80088,0.85578,0.50974,1.37237,inf,0.97771,0.0008515,0.0008515,0.0008515
17,1950.1,1.40977,0.65782,0.97458,0.88722,0.80782,0.85594,0.51033,1.37079,inf,0.97935,0.0008416,0.0008416,0.0008416
18,2068.2,1.4105,0.65702,0.97527,0.88863,0.80534,0.85962,0.51364,1.36,inf,0.97381,0.0008317,0.0008317,0.0008317
19,2184.79,1.40595,0.65085,0.97307,0.89126,0.80375,0.85558,0.51288,1.35951,inf,0.97497,0.0008218,0.0008218,0.0008218
20,2300,1.39973,0.64905,0.97193,0.88848,0.80783,0.85693,0.51287,1.36811,inf,0.97812,0.0008119,0.0008119,0.0008119
21,2416.4,1.39934,0.64709,0.97103,0.89142,0.80313,0.85324,0.51222,1.36101,inf,0.97515,0.000802,0.000802,0.000802
22,2534.8,1.39529,0.64485,0.96961,0.89371,0.81217,0.86506,0.51832,1.35389,inf,0.97199,0.0007921,0.0007921,0.0007921
23,2650.43,1.39896,0.64527,0.9701,0.89183,0.81867,0.86806,0.52024,1.35942,inf,0.97479,0.0007822,0.0007822,0.0007822
24,2767.83,1.398,0.64287,0.96693,0.89396,0.81304,0.86687,0.52237,1.34905,inf,0.97252,0.0007723,0.0007723,0.0007723
25,2890.94,1.39254,0.63948,0.96817,0.89344,0.81714,0.86752,0.52314,1.34917,inf,0.97287,0.0007624,0.0007624,0.0007624
26,3008.21,1.38989,0.63698,0.96684,0.89293,0.8049,0.85798,0.51838,1.3507,inf,0.97263,0.0007525,0.0007525,0.0007525
27,3122.09,1.39227,0.63877,0.96761,0.89927,0.81128,0.8678,0.52553,1.34264,inf,0.96933,0.0007426,0.0007426,0.0007426
28,3241.63,1.38629,0.6341,0.96558,0.89324,0.81521,0.86756,0.52368,1.34943,inf,0.97186,0.0007327,0.0007327,0.0007327
29,3356.82,1.38109,0.63185,0.96709,0.89479,0.81935,0.8683,0.52474,1.34588,inf,0.97121,0.0007228,0.0007228,0.0007228
30,3476.61,1.3815,0.63075,0.9641,0.89472,0.81683,0.86761,0.52408,1.34298,inf,0.97088,0.0007129,0.0007129,0.0007129
31,3588.2,1.37979,0.62962,0.96419,0.89706,0.81676,0.86892,0.52586,1.33905,inf,0.96958,0.000703,0.000703,0.000703
32,3705.01,1.37783,0.62744,0.9647,0.8971,0.82242,0.86878,0.52795,1.33899,inf,0.9695,0.0006931,0.0006931,0.0006931
33,3822.69,1.37755,0.62662,0.96439,0.89306,0.8169,0.86868,0.52636,1.33988,inf,0.96668,0.0006832,0.0006832,0.0006832
34,3939.62,1.37743,0.62533,0.96162,0.89871,0.82518,0.87796,0.53092,1.3396,inf,0.9688,0.0006733,0.0006733,0.0006733
35,4056.93,1.37679,0.62489,0.96234,0.89867,0.82243,0.86975,0.53016,1.33266,inf,0.96704,0.0006634,0.0006634,0.0006634
36,4174.01,1.37132,0.62246,0.96053,0.89518,0.81955,0.8689,0.52681,1.33542,inf,0.96846,0.0006535,0.0006535,0.0006535
37,4290.82,1.37546,0.62362,0.96166,0.89681,0.82676,0.87761,0.53237,1.33307,inf,0.96613,0.0006436,0.0006436,0.0006436
38,4407.33,1.3726,0.61996,0.96097,0.90124,0.82568,0.87251,0.53292,1.32874,inf,0.96523,0.0006337,0.0006337,0.0006337
39,4524.12,1.36414,0.61592,0.95943,0.89851,0.82604,0.87821,0.53291,1.33158,inf,0.96507,0.0006238,0.0006238,0.0006238
40,4639.73,1.37192,0.62051,0.96192,0.90062,0.82775,0.87822,0.53374,1.32825,inf,0.96399,0.0006139,0.0006139,0.0006139
41,4755.82,1.36774,0.61738,0.95958,0.89968,0.82427,0.87183,0.53344,1.32741,inf,0.96536,0.000604,0.000604,0.000604
42,4872.71,1.36982,0.61828,0.96079,0.8979,0.82888,0.87735,0.53427,1.32748,inf,0.9638,0.0005941,0.0005941,0.0005941
43,4989.63,1.37175,0.61875,0.96127,0.90076,0.83114,0.88092,0.53512,1.32722,inf,0.96387,0.0005842,0.0005842,0.0005842
44,5102.89,1.3658,0.61484,0.96007,0.9005,0.82997,0.87939,0.534,1.32683,inf,0.96364,0.0005743,0.0005743,0.0005743
45,5234.61,1.36038,0.61122,0.95864,0.90009,0.83034,0.88021,0.53569,1.32493,inf,0.96365,0.0005644,0.0005644,0.0005644
46,5351.63,1.36137,0.61213,0.95864,0.90199,0.82646,0.87803,0.53494,1.32446,inf,0.96401,0.0005545,0.0005545,0.0005545
47,5469.33,1.35701,0.60845,0.95823,0.90295,0.82839,0.87939,0.53659,1.3234,inf,0.96267,0.0005446,0.0005446,0.0005446
48,5586.64,1.36319,0.61121,0.95815,0.90331,0.82875,0.88111,0.53671,1.32446,inf,0.96293,0.0005347,0.0005347,0.0005347
49,5702.52,1.35819,0.60871,0.95763,0.90288,0.82959,0.8798,0.53556,1.324,inf,0.96286,0.0005248,0.0005248,0.0005248
50,5819.71,1.36377,0.61101,0.95833,0.90526,0.82868,0.8813,0.53616,1.32496,inf,0.96297,0.0005149,0.0005149,0.0005149
51,5935.62,1.35829,0.60942,0.9566,0.90515,0.83003,0.88246,0.53844,1.32052,inf,0.96108,0.000505,0.000505,0.000505
52,6054.61,1.35491,0.6065,0.95767,0.90475,0.82882,0.88099,0.5379,1.32253,inf,0.9623,0.0004951,0.0004951,0.0004951
53,6171.43,1.35703,0.60665,0.95562,0.90563,0.83045,0.88223,0.53827,1.32163,inf,0.96196,0.0004852,0.0004852,0.0004852
54,6287.14,1.3546,0.60542,0.95688,0.9055,0.83058,0.88152,0.53865,1.32008,inf,0.96193,0.0004753,0.0004753,0.0004753
55,6403.82,1.35675,0.60564,0.95809,0.90588,0.82935,0.88142,0.53815,1.32099,inf,0.96146,0.0004654,0.0004654,0.0004654
56,6527.51,1.35348,0.6032,0.9538,0.90367,0.83201,0.88215,0.53914,1.31861,inf,0.96065,0.0004555,0.0004555,0.0004555
57,6644.02,1.35166,0.60058,0.95478,0.90396,0.83219,0.88204,0.53838,1.32054,inf,0.962,0.0004456,0.0004456,0.0004456
58,6760.12,1.35362,0.60227,0.95487,0.90653,0.8313,0.88194,0.53862,1.32066,inf,0.96148,0.0004357,0.0004357,0.0004357
59,6878.72,1.35201,0.60078,0.95422,0.90547,0.83028,0.88018,0.53823,1.3188,inf,0.96139,0.0004258,0.0004258,0.0004258
60,6984.82,1.35088,0.60181,0.95679,0.90439,0.83377,0.88162,0.53974,1.31787,inf,0.96039,0.0004159,0.0004159,0.0004159
61,7086.49,1.34523,0.59819,0.95349,0.90623,0.83245,0.88282,0.53907,1.31879,inf,0.96122,0.000406,0.000406,0.000406
62,7188.93,1.34898,0.59829,0.95301,0.9053,0.83297,0.88179,0.54032,1.31735,inf,0.96044,0.0003961,0.0003961,0.0003961
63,7284.82,1.34531,0.59718,0.95263,0.9078,0.83172,0.88225,0.5402,1.3177,inf,0.96042,0.0003862,0.0003862,0.0003862
64,7374.7,1.34447,0.59673,0.95296,0.90584,0.83269,0.88312,0.54079,1.31798,inf,0.96084,0.0003763,0.0003763,0.0003763
65,7465.52,1.34866,0.59832,0.95377,0.90615,0.83269,0.88199,0.54028,1.31675,inf,0.96056,0.0003664,0.0003664,0.0003664
66,7554.4,1.34629,0.59631,0.95398,0.90611,0.83323,0.88293,0.54103,1.31598,inf,0.96006,0.0003565,0.0003565,0.0003565
67,7645.43,1.34349,0.59559,0.95244,0.90645,0.83212,0.88255,0.54041,1.31633,inf,0.9602,0.0003466,0.0003466,0.0003466
68,7737.2,1.34386,0.59506,0.95193,0.90577,0.83357,0.88276,0.54111,1.31621,inf,0.96007,0.0003367,0.0003367,0.0003367
69,7829.13,1.3476,0.59463,0.95207,0.90742,0.83272,0.88279,0.54115,1.31643,inf,0.96042,0.0003268,0.0003268,0.0003268
70,7920.13,1.34057,0.59251,0.95188,0.90659,0.83423,0.88318,0.54155,1.31635,inf,0.96021,0.0003169,0.0003169,0.0003169
71,8009.82,1.34537,0.59521,0.95382,0.90562,0.83471,0.88306,0.54148,1.31685,inf,0.96017,0.000307,0.000307,0.000307
72,8100.32,1.34381,0.59304,0.95156,0.90783,0.83333,0.88354,0.54218,1.31623,inf,0.95978,0.0002971,0.0002971,0.0002971
73,8190.2,1.33653,0.58939,0.95037,0.90737,0.83382,0.88301,0.54167,1.31624,inf,0.95989,0.0002872,0.0002872,0.0002872
74,8280.83,1.33584,0.5891,0.94961,0.90794,0.8337,0.88336,0.54172,1.31528,inf,0.95973,0.0002773,0.0002773,0.0002773
75,8372.42,1.34014,0.59097,0.95088,0.90827,0.83503,0.88377,0.5424,1.31481,inf,0.95952,0.0002674,0.0002674,0.0002674
76,8469.8,1.33999,0.59012,0.9517,0.90669,0.83574,0.88399,0.54273,1.31488,inf,0.95949,0.0002575,0.0002575,0.0002575
77,8606.33,1.33485,0.58803,0.95055,0.90573,0.83572,0.88362,0.54237,1.31504,inf,0.95965,0.0002476,0.0002476,0.0002476
78,8732.12,1.34181,0.5886,0.95099,0.90598,0.8352,0.8836,0.54159,1.31558,inf,0.95991,0.0002377,0.0002377,0.0002377
79,8859.49,1.33599,0.58656,0.94927,0.90497,0.83713,0.88343,0.5417,1.31556,inf,0.95979,0.0002278,0.0002278,0.0002278
80,8982.13,1.334,0.58605,0.94888,0.90585,0.83598,0.88308,0.5416,1.31646,inf,0.96024,0.0002179,0.0002179,0.0002179
81,9100.32,1.33771,0.58834,0.94918,0.90577,0.83583,0.8832,0.54164,1.31625,inf,0.96031,0.000208,0.000208,0.000208
82,9220.42,1.33254,0.58465,0.94962,0.90762,0.83411,0.88329,0.54153,1.31673,inf,0.96045,0.0001981,0.0001981,0.0001981
83,9326.72,1.32936,0.58408,0.94897,0.90667,0.83537,0.88329,0.54203,1.31683,inf,0.96024,0.0001882,0.0001882,0.0001882
84,9425.2,1.32965,0.58328,0.94918,0.90625,0.83494,0.88312,0.54155,1.31709,inf,0.96035,0.0001783,0.0001783,0.0001783
85,9523.33,1.32888,0.58456,0.94796,0.90764,0.83407,0.88326,0.54144,1.31705,inf,0.96042,0.0001684,0.0001684,0.0001684
86,9621.32,1.3257,0.5808,0.94788,0.90701,0.83418,0.88279,0.54133,1.31726,inf,0.96062,0.0001585,0.0001585,0.0001585
87,9719.31,1.32427,0.5798,0.94659,0.90778,0.83433,0.88319,0.5416,1.31692,inf,0.9606,0.0001486,0.0001486,0.0001486
88,9817.23,1.33165,0.58377,0.94905,0.90664,0.83507,0.88276,0.54123,1.31702,inf,0.96048,0.0001387,0.0001387,0.0001387
89,9916.33,1.3286,0.58208,0.94799,0.90693,0.83511,0.8827,0.54129,1.3166,inf,0.96025,0.0001288,0.0001288,0.0001288
90,10015.5,1.3238,0.58041,0.94568,0.9066,0.83576,0.88302,0.54162,1.31615,inf,0.9602,0.0001189,0.0001189,0.0001189
91,10123.5,1.31838,0.57974,0.96887,0.90773,0.83367,0.88274,0.54071,1.31787,inf,0.96143,0.000109,0.000109,0.000109
92,10220.2,1.31172,0.57227,0.96453,0.90751,0.83336,0.88231,0.54005,1.31851,inf,0.96187,9.91e-05,9.91e-05,9.91e-05
93,10316.9,1.308,0.56905,0.96503,0.90577,0.83457,0.88233,0.53992,1.31876,inf,0.9619,8.92e-05,8.92e-05,8.92e-05
94,10413.8,1.30591,0.56783,0.96394,0.90574,0.83437,0.88224,0.53975,1.319,inf,0.96197,7.93e-05,7.93e-05,7.93e-05
95,10509.1,1.30484,0.56688,0.96356,0.90541,0.83449,0.8822,0.53968,1.31913,inf,0.96198,6.94e-05,6.94e-05,6.94e-05
96,10606.4,1.30311,0.56572,0.96265,0.90537,0.83438,0.88212,0.53995,1.31899,inf,0.962,5.95e-05,5.95e-05,5.95e-05
